injected_signal,scenario,geometry,run_id,beta_hat,deltaBIC_dbu_vs_null,deltaBIC_dbu_vs_nuis,epsilon_phys,K_beta2_per_epsilon,beta_target,eps_eff,phys_scale,temporal_tau
1,MZI_signal,MZI,MZI_signal_00001,0.0010788033083606989,24.928801533024377,22.095235823235907,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00002,0.0011021131783315072,19.425255084285844,24.069548282975624,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00003,0.0009740183011933555,27.91060819774124,20.02185299368471,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00004,0.0010271202156865741,34.77583175847195,22.957802562386984,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00005,0.0011523415559091617,28.603765416810973,23.86004072396486,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00006,0.0011104496749674473,29.0178245787473,25.32146772749404,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00007,0.0010880235891079812,37.14059428887082,24.881594718437313,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00008,0.0009766082548643843,27.29380116406807,23.191232798472004,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00009,0.0010783947054358108,30.74749367588867,24.39105011450162,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00010,0.0009576918523094103,33.124310178865976,20.50954760354187,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00011,0.0010233422449700891,25.603510429177838,24.42572921797175,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00012,0.0010516108855571605,25.34579342264917,20.728122527669388,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00013,0.0009202878350782143,24.63134494419405,18.281249354040703,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00014,0.00105143021755376,30.65677308109437,23.66162770279968,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00015,0.001182606771307271,32.135903269186485,20.41420985524487,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00016,0.0010762089936610345,27.869775623114325,15.546841951834338,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00017,0.0009699271112704055,27.33085329139555,21.481310694577576,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00018,0.0011186118205966376,29.854566518143393,16.687922493700796,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00019,0.0011191509691066903,28.714348825815055,23.870119544933885,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00020,0.0011662832085398307,27.42846810884811,25.73676471094024,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00021,0.0009981117012053096,24.217047518511126,23.286316570406623,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00022,0.0010428682011630007,29.04653025847588,27.978946359533474,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00023,0.0011083965346658064,28.84867815545648,19.392338864044458,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00024,0.0009284297925748624,27.70981353890596,25.20061073982459,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00025,0.0010468079631193949,29.605849996821476,26.279491818155748,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00026,0.0011950516458371964,29.71526355040713,22.51031943597203,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00027,0.0009440193682930366,25.479221423292238,21.15773257594578,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00028,0.0010012983450354955,28.993813051811056,27.7349445504583,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00029,0.001205044736473857,28.975519447324828,24.338302216074485,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00030,0.0010119346314291112,33.85635740267521,17.31410021216446,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00031,0.0011530412947818047,29.982358840799098,19.732421839736727,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00032,0.00105662103936941,23.46298918737576,18.725079856593304,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00033,0.0009377936605732802,31.070055608802846,25.616034908280042,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00034,0.0008887284846454288,35.35322206460602,21.96397529008948,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00035,0.0010994869033069147,22.110348657659696,25.962477250494594,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00036,0.0010917841215593391,32.5553049590852,25.66257496194323,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00037,0.0011893227383468102,25.40687689659119,21.376113976320386,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00038,0.0010219841981033537,31.580385850965133,22.99866768809122,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00039,0.0011664791478113376,32.450955212228926,16.818221527183276,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00040,0.0011906892217849528,31.803443831062868,20.892325350443507,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00041,0.001104639641338503,27.505321713669183,23.84816703589353,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00042,0.001042642211853615,29.91570896467643,22.201915913978056,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00043,0.0010374157187116849,28.760544979608234,30.119408720466275,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00044,0.0010156369691680933,27.000225634953722,19.995662801100906,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00045,0.0010261522975663722,31.26309741354143,24.147647378908204,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00046,0.001074065450648731,32.10518634107645,24.38032988648293,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00047,0.0010606143606612449,21.864541032823176,24.48934902384701,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00048,0.0010891548242923542,28.088893854802368,20.601855939970854,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00049,0.0011385836745099148,29.393985009714005,21.28951587159311,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00050,0.0009692226226134162,32.2717164075203,23.81471566946763,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00051,0.0010965253635237694,17.37290401954401,21.88631722865182,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00052,0.0010538342983636778,25.526017259782638,24.262705835692852,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00053,0.001136022853730697,29.74729886876955,25.11367274430323,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00054,0.000986687044936074,26.185383772922773,22.224376789557418,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00055,0.0010210987575983398,30.90867688681417,20.433397455604915,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00056,0.0011861846155581638,24.27536239299924,28.395950948501852,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00057,0.0012490191952043192,27.62098741473862,25.438511352777244,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00058,0.0010401464872183213,32.05314599292538,21.472065005629688,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00059,0.000964065948250023,13.868727249284404,21.193859661788167,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00060,0.001098559275057386,33.321265704144864,22.10987509645417,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00061,0.0011607852421630011,26.18423381111389,20.988163091405664,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00062,0.0011651802785517806,18.14130206132291,22.038951486708747,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00063,0.0010401866082871052,33.44244481940914,20.415261115060538,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00064,0.0011189780266099441,31.686067877338775,17.52221201760877,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00065,0.0010625884632903652,26.273454263656248,24.838879740488782,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00066,0.0011326032990313165,27.06719187976327,18.857775848751846,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00067,0.0011638143729160342,27.729388893604874,17.144870302997614,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00068,0.0009428375696436227,29.750533720291905,18.172581421703445,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00069,0.001234435149677949,24.251718862562676,21.99891782392817,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00070,0.0010882476594009612,25.082489043052618,15.280518908266094,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00071,0.0010909799141205496,24.987040039590966,22.349615282849328,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00072,0.0010640532524910453,29.053164992287215,26.68561036196818,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00073,0.0010276165810114792,26.124621382630018,17.00260809173833,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00074,0.0010577904121845893,29.639479957099866,20.54951536728692,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00075,0.0011103681915015826,27.289965898043235,18.09320128609303,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00076,0.0011013894816054835,27.176671465739933,22.368273464228075,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00077,0.001025831345344322,25.37838990803642,22.472232422658895,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00078,0.0010547458592408672,34.89711299667706,24.396191536483492,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00079,0.0011214211068035285,27.29007679399434,15.921929654570473,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00080,0.0010051441591481108,25.41082618966273,21.175046841130257,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00081,0.0010717017419269352,30.62429986194198,22.819436683210196,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00082,0.0011742210624358601,26.752392105923,22.771488832510485,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00083,0.0011041282718688475,28.982905137434358,25.845670743820428,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00084,0.0011436664204116027,22.72238712199431,21.65700670282198,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00085,0.0010733682545706745,36.606164254780026,21.01062645626359,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00086,0.0009901097302727321,29.753301717906574,23.49095715887134,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00087,0.001068227584397655,27.11895598811644,24.846711868186254,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00088,0.0010011894659712095,26.636186628525856,20.433550413659837,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00089,0.001168606772540544,29.141976813145376,18.80501770803619,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00090,0.0009916551770079807,35.493660494448605,25.24965324432112,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00091,0.0011469138518925637,28.04898776389337,26.525419720361228,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00092,0.000979714698783975,31.01187004881796,20.67017948042331,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
1,MZI_signal,MZI,MZI_signal_00093,0.0010531732561964646,30.903157059329548,21.56932747395548,9.31e-07,1154.21,0.00107456951,9.31e-07,9.31e-07,300
