mechanism,x,eps_theory,eps_injected,visibility_loss,eps_static_bias
TBU (vary M),0.0,0.0,-6.560107531481216e-09,0.0,0.0
TBU (vary M),0.25,1.8506882509416457e-07,1.7408222443957405e-07,1.8506882509416457e-07,0.0
TBU (vary M),0.5,3.7013765018832915e-07,3.3110309966094707e-07,3.7013765018832915e-07,0.0
TBU (vary M),0.75,5.552064752824935e-07,5.901873929225174e-07,5.552064752824935e-07,0.0
TBU (vary M),1.0,7.402753003766583e-07,8.05647138285427e-07,7.402753003766583e-07,0.0
TBU (vary M),1.25,9.253441254708227e-07,8.818754773976564e-07,9.253441254708227e-07,0.0
TBU (vary M),1.5,1.110412950564987e-06,1.1035300783160373e-06,1.110412950564987e-06,0.0
TBU (vary M),2.0,1.4805506007533166e-06,1.670036174411448e-06,1.4805506007533166e-06,0.0
EM cross-talk,0.0,2.5e-07,2.724376104597644e-07,2.5e-07,2.5e-07
EM cross-talk,0.25,2.5e-07,2.678212109060192e-07,2.5e-07,2.5e-07
EM cross-talk,0.5,2.5e-07,2.553866556468587e-07,2.5e-07,2.5e-07
EM cross-talk,0.75,2.5e-07,2.3744304219712067e-07,2.5e-07,2.5e-07
EM cross-talk,1.0,2.5e-07,2.396926867729675e-07,2.5e-07,2.5e-07
EM cross-talk,1.25,2.5e-07,2.547043396931193e-07,2.5e-07,2.5e-07
EM cross-talk,1.5,2.5e-07,2.5877059706255685e-07,2.5e-07,2.5e-07
EM cross-talk,2.0,2.5e-07,2.3062230423705393e-07,2.5e-07,2.5e-07
Thermal drift (RMS),0.0,4e-07,4.3987614366231796e-07,4e-07,0.0
Thermal drift (RMS),0.25,4e-07,4.4504067307230837e-07,4e-07,0.0
Thermal drift (RMS),0.5,4e-07,4.254053315508298e-07,4e-07,0.0
Thermal drift (RMS),0.75,4e-07,4.481132619210088e-07,4e-07,0.0
Thermal drift (RMS),1.0,4e-07,4.20424064096347e-07,4e-07,0.0
Thermal drift (RMS),1.25,4e-07,4.0877286029952803e-07,4e-07,0.0
Thermal drift (RMS),1.5,4e-07,4.016388943254951e-07,4e-07,0.0
Thermal drift (RMS),2.0,4e-07,3.898578818426649e-07,4e-07,0.0
Detector mismatch,0.0,1.5e-07,1.4993761676806993e-07,0.0,1.5e-07
Detector mismatch,0.25,1.5e-07,1.3750967748081837e-07,0.0,1.5e-07
Detector mismatch,0.5,1.5e-07,1.4899678422609277e-07,0.0,1.5e-07
Detector mismatch,0.75,1.5e-07,1.3597982407289873e-07,0.0,1.5e-07
Detector mismatch,1.0,1.5e-07,1.4039014792161479e-07,0.0,1.5e-07
Detector mismatch,1.25,1.5e-07,1.6474261924596847e-07,0.0,1.5e-07
Detector mismatch,1.5,1.5e-07,1.6418602519299206e-07,0.0,1.5e-07
Detector mismatch,2.0,1.5e-07,1.3995320986141978e-07,0.0,1.5e-07
