dA,dB,x_A,x_B,chi_A,chi_B,eps_A,eps_B,eps_joint
0.05,0.05,0.1667,0.1667,1.927924402447826,1.927924402447826,8.266967070515226e-06,8.266967070515226e-06,8.266967070515226e-06
0.05,0.125,0.1667,0.4167,1.927924402447826,1.0790123157413438,8.266967070515226e-06,4.626820051444142e-06,6.184639763679715e-06
0.05,0.2,0.1667,0.6667,1.927924402447826,0.696769988598061,8.266967070515226e-06,2.987759553305059e-06,4.969880264331345e-06
0.05,0.275,0.1667,0.9167,1.927924402447826,0.47496395513416434,8.266967070515226e-06,2.036652148699626e-06,4.103283593342518e-06
0.05,0.35,0.1667,1.1667,1.927924402447826,0.33338099855081876,8.266967070515226e-06,1.4295424309458565e-06,3.4377289309271727e-06
0.05,0.425,0.1667,1.4167,1.927924402447826,0.23837283728423275,8.266967070515226e-06,1.022146093400758e-06,2.9068966433982214e-06
0.05,0.5,0.1667,1.6667,1.927924402447826,0.1726382606767304,8.266967070515226e-06,7.402753003766583e-07,2.4738293254243715e-06
0.125,0.05,0.4167,0.1667,1.0790123157413438,1.927924402447826,4.626820051444142e-06,8.266967070515226e-06,6.184639763679715e-06
0.125,0.125,0.4167,0.4167,1.0790123157413438,1.0790123157413438,4.626820051444142e-06,4.626820051444142e-06,4.626820051444142e-06
0.125,0.2,0.4167,0.6667,1.0790123157413438,0.696769988598061,4.626820051444142e-06,2.987759553305059e-06,3.718040587476909e-06
0.125,0.275,0.4167,0.9167,1.0790123157413438,0.47496395513416434,4.626820051444142e-06,2.036652148699626e-06,3.069726860719081e-06
0.125,0.35,0.4167,1.1667,1.0790123157413438,0.33338099855081876,4.626820051444142e-06,1.4295424309458565e-06,2.5718156201194693e-06
0.125,0.425,0.4167,1.4167,1.0790123157413438,0.23837283728423275,4.626820051444142e-06,1.022146093400758e-06,2.174692171423791e-06
0.125,0.5,0.4167,1.6667,1.0790123157413438,0.1726382606767304,4.626820051444142e-06,7.402753003766583e-07,1.8507081356528255e-06
0.2,0.05,0.6667,0.1667,0.696769988598061,1.927924402447826,2.987759553305059e-06,8.266967070515226e-06,4.969880264331345e-06
0.2,0.125,0.6667,0.4167,0.696769988598061,1.0790123157413438,2.987759553305059e-06,4.626820051444142e-06,3.718040587476909e-06
0.2,0.2,0.6667,0.6667,0.696769988598061,0.696769988598061,2.987759553305059e-06,2.987759553305059e-06,2.987759553305059e-06
0.2,0.275,0.6667,0.9167,0.696769988598061,0.47496395513416434,2.987759553305059e-06,2.036652148699626e-06,2.4667847320016766e-06
0.2,0.35,0.6667,1.1667,0.696769988598061,0.33338099855081876,2.987759553305059e-06,1.4295424309458565e-06,2.066671007904601e-06
0.2,0.425,0.6667,1.4167,0.696769988598061,0.23837283728423275,2.987759553305059e-06,1.022146093400758e-06,1.7475487848502427e-06
0.2,0.5,0.6667,1.6667,0.696769988598061,0.1726382606767304,2.987759553305059e-06,7.402753003766583e-07,1.4872002557746327e-06
0.275,0.05,0.9167,0.1667,0.47496395513416434,1.927924402447826,2.036652148699626e-06,8.266967070515226e-06,4.103283593342518e-06
0.275,0.125,0.9167,0.4167,0.47496395513416434,1.0790123157413438,2.036652148699626e-06,4.626820051444142e-06,3.069726860719081e-06
0.275,0.2,0.9167,0.6667,0.47496395513416434,0.696769988598061,2.036652148699626e-06,2.987759553305059e-06,2.4667847320016766e-06
0.275,0.275,0.9167,0.9167,0.47496395513416434,0.47496395513416434,2.036652148699626e-06,2.036652148699626e-06,2.036652148699626e-06
0.275,0.35,0.9167,1.1667,0.47496395513416434,0.33338099855081876,2.036652148699626e-06,1.4295424309458565e-06,1.70630614593137e-06
0.275,0.425,0.9167,1.4167,0.47496395513416434,0.23837283728423275,2.036652148699626e-06,1.022146093400758e-06,1.4428291781806958e-06
0.275,0.5,0.9167,1.6667,0.47496395513416434,0.1726382606767304,2.036652148699626e-06,7.402753003766583e-07,1.2278775513630755e-06
0.35,0.05,1.1667,0.1667,0.33338099855081876,1.927924402447826,1.4295424309458565e-06,8.266967070515226e-06,3.4377289309271727e-06
0.35,0.125,1.1667,0.4167,0.33338099855081876,1.0790123157413438,1.4295424309458565e-06,4.626820051444142e-06,2.5718156201194693e-06
0.35,0.2,1.1667,0.6667,0.33338099855081876,0.696769988598061,1.4295424309458565e-06,2.987759553305059e-06,2.066671007904601e-06
0.35,0.275,1.1667,0.9167,0.33338099855081876,0.47496395513416434,1.4295424309458565e-06,2.036652148699626e-06,1.70630614593137e-06
0.35,0.35,1.1667,1.1667,0.33338099855081876,0.33338099855081876,1.4295424309458565e-06,1.4295424309458565e-06,1.4295424309458565e-06
0.35,0.425,1.1667,1.4167,0.33338099855081876,0.23837283728423275,1.4295424309458565e-06,1.022146093400758e-06,1.2088015598690838e-06
0.35,0.5,1.1667,1.6667,0.33338099855081876,0.1726382606767304,1.4295424309458565e-06,7.402753003766583e-07,1.0287151950222288e-06
0.425,0.05,1.4167,0.1667,0.23837283728423275,1.927924402447826,1.022146093400758e-06,8.266967070515226e-06,2.9068966433982214e-06
0.425,0.125,1.4167,0.4167,0.23837283728423275,1.0790123157413438,1.022146093400758e-06,4.626820051444142e-06,2.174692171423791e-06
0.425,0.2,1.4167,0.6667,0.23837283728423275,0.696769988598061,1.022146093400758e-06,2.987759553305059e-06,1.7475487848502427e-06
0.425,0.275,1.4167,0.9167,0.23837283728423275,0.47496395513416434,1.022146093400758e-06,2.036652148699626e-06,1.4428291781806958e-06
0.425,0.35,1.4167,1.1667,0.23837283728423275,0.33338099855081876,1.022146093400758e-06,1.4295424309458565e-06,1.2088015598690838e-06
0.425,0.425,1.4167,1.4167,0.23837283728423275,0.23837283728423275,1.022146093400758e-06,1.022146093400758e-06,1.022146093400758e-06
0.425,0.5,1.4167,1.6667,0.23837283728423275,0.1726382606767304,1.022146093400758e-06,7.402753003766583e-07,8.698675222820276e-07
0.5,0.05,1.6667,0.1667,0.1726382606767304,1.927924402447826,7.402753003766583e-07,8.266967070515226e-06,2.4738293254243715e-06
0.5,0.125,1.6667,0.4167,0.1726382606767304,1.0790123157413438,7.402753003766583e-07,4.626820051444142e-06,1.8507081356528255e-06
0.5,0.2,1.6667,0.6667,0.1726382606767304,0.696769988598061,7.402753003766583e-07,2.987759553305059e-06,1.4872002557746327e-06
