scenario,M,Lc,lambda,d,kappa,chi_geom,chi_distance,x_argument,eps_theory,eps_measured,eps_noisy,passes_scaling
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.1",0.0,0.3,5.32e-07,0.1,1.5518527311188417e-11,0.49,1.2765843668935803,0.33333333333333337,0.0,0.0,4.967141530112327e-09,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.15",0.0,0.3,5.32e-07,0.15,1.5518527311188417e-11,0.49,0.9244190712276656,0.5,0.0,0.0,-1.3826430117118466e-09,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.2",0.0,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,0.0,0.0,6.476885381006925e-09,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.25",0.0,0.3,5.32e-07,0.25,1.5518527311188417e-11,0.49,0.5375080569243935,0.8333333333333334,0.0,0.0,1.5230298564080255e-08,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.3",0.0,0.3,5.32e-07,0.3,1.5518527311188417e-11,0.49,0.42102443824070834,1.0,0.0,0.0,-2.34153374723336e-09,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.4",0.0,0.3,5.32e-07,0.4,1.5518527311188417e-11,0.49,0.2661369635941187,1.3333333333333335,0.0,0.0,-2.3413695694918056e-09,True
"M=0.0,Lc=0.3,λ=5.32e-07,d=0.5",0.0,0.3,5.32e-07,0.5,1.5518527311188417e-11,0.49,0.1726382606767304,1.6666666666666667,0.0,0.0,1.5792128155073916e-08,True
"M=0.25,Lc=0.3,λ=5.32e-07,d=0.1",0.25,0.3,5.32e-07,0.1,1.5518527311188417e-11,0.49,1.2765843668935803,0.33333333333333337,1.0720035313649893e-06,1.3685029493952572e-06,1.4525218846203858e-06,True
"M=0.25,Lc=0.3,λ=5.32e-07,d=0.15",0.25,0.3,5.32e-07,0.15,1.5518527311188417e-11,0.49,0.9244190712276656,0.5,1.0720035313649893e-06,9.909805088172012e-07,9.537613115491643e-07,True
"M=0.25,Lc=0.3,λ=5.32e-07,d=0.2",0.25,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,1.0720035313649893e-06,7.469398883262648e-07,7.793606673955763e-07,True
